Collection Size,Data Type,Sorting Type,Time To Complete,Operations
20000,random,insertion,0.00000,99295839
20000,random,merge,0.00000,548115
20000,random,quick,0.00000,476934
20000,semi-sorted,insertion,0.00000,99315914
20000,semi-sorted,merge,0.00000,435267
20000,semi-sorted,quick,0.00000,784363
20000,sorted,insertion,0.00000,198611753
20000,sorted,merge,0.00000,435248
20000,sorted,quick,0.00000,1261297
40000,random,insertion,1.00000,598468132
40000,random,merge,0.00000,1176238
40000,random,quick,0.00000,2264160
40000,semi-sorted,insertion,0.00000,598508287
40000,semi-sorted,merge,0.00000,930535
40000,semi-sorted,quick,0.00000,2919029
40000,sorted,insertion,1.00000,998364666
40000,sorted,merge,0.00000,930496
40000,sorted,quick,0.00000,3921892
60000,random,insertion,4.00000,1897776875
60000,random,merge,0.00000,1831824
60000,random,quick,0.00000,5485105
60000,semi-sorted,insertion,0.00000,1897837110
60000,semi-sorted,merge,0.00000,1439995
60000,semi-sorted,quick,0.00000,6500250
60000,sorted,insertion,3.00000,2797249319
60000,sorted,merge,0.00000,1439920
60000,sorted,quick,0.00000,8063463
80000,random,insertion,7.00000,4400602409
80000,random,merge,0.00000,2512534
80000,random,quick,0.00000,10227567
80000,semi-sorted,insertion,0.00000,4400682724
80000,semi-sorted,merge,0.00000,1981071
80000,semi-sorted,quick,0.00000,11617316
80000,sorted,insertion,6.00000,6004035814
80000,sorted,merge,0.00000,1980992
80000,sorted,quick,0.00000,13781420
100000,random,insertion,10.00000,8502458039
100000,random,merge,0.00000,3205314
100000,random,quick,0.00000,16506978
100000,semi-sorted,insertion,0.00000,8502558434
100000,semi-sorted,merge,0.00000,2522923
100000,semi-sorted,quick,0.00000,18277051
100000,sorted,insertion,10.00000,11000980659
100000,sorted,merge,0.00000,2522832
100000,sorted,quick,0.00000,21002609
20000,random,insertion,0.00000,99313545
20000,random,merge,0.00000,548158
20000,random,quick,0.00000,460763
20000,semi-sorted,insertion,0.00000,99333620
20000,semi-sorted,merge,0.00000,435267
20000,semi-sorted,quick,0.00000,768192
20000,sorted,insertion,0.00000,198647165
20000,sorted,merge,0.00000,435248
20000,sorted,quick,0.00000,1228955
40000,random,insertion,1.00000,599728603
40000,random,merge,0.00000,1176416
40000,random,quick,0.00000,2224113
40000,semi-sorted,insertion,0.00000,599768758
40000,semi-sorted,merge,0.00000,930535
40000,semi-sorted,quick,0.00000,2878982
40000,sorted,insertion,1.00000,1000850196
40000,sorted,merge,0.00000,930496
40000,sorted,quick,0.00000,3874140
60000,random,insertion,3.00000,1902417386
60000,random,merge,0.00000,1831684
60000,random,quick,0.00000,5517748
60000,semi-sorted,insertion,0.00000,1902477621
60000,semi-sorted,merge,0.00000,1439995
60000,semi-sorted,quick,0.00000,6532893
60000,sorted,insertion,2.00000,2804044811
60000,sorted,merge,0.00000,1439920
60000,sorted,quick,0.00000,8176501
80000,random,insertion,5.00000,4409802969
80000,random,merge,0.00000,2512262
80000,random,quick,0.00000,10395757
80000,semi-sorted,insertion,0.00000,4409883284
80000,semi-sorted,merge,0.00000,1981071
80000,semi-sorted,quick,0.00000,11785506
80000,sorted,insertion,5.00000,6015641442
80000,sorted,merge,0.00000,1980992
80000,sorted,quick,0.00000,14004762
100000,random,insertion,8.00000,8526576406
100000,random,merge,0.00000,3205322
100000,random,quick,0.00000,16672300
100000,semi-sorted,insertion,0.00000,8526676801
100000,semi-sorted,merge,0.00000,2522923
100000,semi-sorted,quick,0.00000,18442373
100000,sorted,insertion,8.00000,11037611765
100000,sorted,merge,0.00000,2522832
100000,sorted,quick,0.00000,21109911
